sequenceID,sum_diff,autocorr,mean_diff,abs_skewness,count,max_diff,kurtosis,variance,mean,std_deviation,unique_count,max_value,range_value,iqr,percentile_75,percentile_25,percentile_50,median,min_diff,min_value
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,1155971,0.9738017059788238,1.0837488902076706,1.6359004488261997,1066642,7,3.347190594824262,24.17642990132852,5.649954717702847,4.916953314942956,45,44,44,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,4321232,0.9747069392035914,1.085576574510242,1.3320983588763515,3980588,8,1.805716025480153,25.15298343158978,6.034376328321343,5.0152750105642045,44,43,43,7.0,9.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr11:96437584-134946516,2070520,0.974930506516958,1.0841412171272238,1.4939589433868028,1909826,8,2.478409925501395,25.275083813683,5.74096488371192,5.027433123740483,53,52,52,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr12:37856694-109373470,4451976,0.9763037875184876,1.088304719141555,1.431361490446193,4090745,10,2.5158423200607896,27.04490140285557,6.225668185134982,5.200471267381022,87,89,89,7.0,9.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr12:7239876-34856694,1721771,0.9759092791092222,1.0875726092328373,1.555014718807799,1583133,8,3.0953851165086466,26.552373557567872,6.123535419955241,5.152899529155199,70,69,69,6.0,8.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr13:19020000-86760324,3780069,0.9740038832125456,1.0853412977171784,1.5670912014159395,3482840,42,2.8638358256341188,24.4789538360524,5.667901482698028,4.947621027933769,63,65,65,6.0,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr14:19000000-107289540,5326348,0.9746988747413696,1.086721260334756,1.427436017436331,4901302,14,3.8690136520004703,25.227472863360823,6.1415956413214285,5.022695776508948,105,113,113,7.0,9.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr15:29209443-82829645,3505020,0.9763550538921608,1.089464241532067,1.175142996446359,3217197,8,1.4593202635249938,27.18460403269337,6.6740936287084685,5.213885694248904,61,62,62,7.0,10.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr16:46385801-88389383,2522185,0.999866374289506,1.146456065135019,15.023182736456771,2199985,44,268.19399913439827,7501.436599795212,14.142665063625431,86.61083419408459,2223,2556,2556,7.0,9.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr17:34725848-62410760,1992374,0.9791759827891744,1.0905895193877204,1.4169010618251932,1826879,11,4.981931277827968,30.960810081561743,7.315472453293294,5.5642438912723575,84,83,83,7.0,10.0,3.0,6.0,6.0,1,0
