sequenceID,max_diff,mean,autocorr,count,abs_skewness,variance,sum_diff,std_deviation,unique_count,kurtosis,mean_diff,iqr,max_value,range_value,percentile_75,percentile_50,median,percentile_25,min_value,min_diff
H3K4me1_TDH_BP/samples/bcell/ERS206573/problems/chr1:149509645-205922707,100,26.07481846948632,0.99949859652096,3598844,4.36145500373206,1113.0038657910438,3623810,33.36171257281382,668,75.33534132281147,1.0069375074155775,25.0,1114,1114,31.0,13.0,13.0,6.0,0,1
H3K4me1_TDH_BP/samples/bcell/ERS206573/problems/chr2:162200000-234003741,58,20.24215577408862,0.9992188154737996,4128132,2.591196793008069,665.1013484399907,4142139,25.78955890355612,376,8.198129806840466,1.003393303167947,15.0,403,403,21.0,11.0,11.0,6.0,0,1
H3K4me1_TDH_BP/samples/bcell/ERS206573/problems/chr2:16329724-21153113,18,20.65132143516658,0.9993034747973056,276177,2.632255840919737,742.2359367371006,276983,27.24400735459269,216,7.610475095874941,1.002922049707433,15.0,215,215,21.0,11.0,11.0,6.0,0,1
H3K4me1_TDH_BP/samples/bcell/ERS206573/problems/chr3:60000-66170270,67,24.386766780951906,0.9994264158658,4133809,2.179424811811588,911.2597334650144,4150332,30.18707891573834,247,4.939131150877527,1.0039972828926742,22.0,246,246,28.0,12.0,12.0,6.0,0,1
H3K4me1_TDH_BP/samples/bcell/ERS206573/problems/chr4:75452279-190000000,68,16.99133457351012,0.9988716323801812,6071715,2.8436468916814497,468.0970556222173,6097922,21.63555073535724,224,9.531585930218272,1.004316408842709,13.0,223,223,18.0,10.0,10.0,5.0,0,1
H3K4me1_TDH_BP/samples/bcell/ERS206573/problems/chr5:91686128-138787073,72,20.063916756893185,0.9992256411582646,2638729,2.6169798495678345,678.5511747753179,2650540,26.04901485229946,265,7.778618826786033,1.0044763992347827,15.0,264,264,21.0,11.0,11.0,6.0,0,1
H3K4me1_TDH_BP/samples/bcell/ERS353040/problems/chr1:149509645-205922707,74,17.8198675480749,0.9986563659117428,4154715,6.512971916326998,409.1247419024194,4181827,20.226832226090654,599,168.27323040352445,1.0065258402864794,13.0,923,923,20.0,12.0,12.0,7.0,0,1
H3K4me1_TDH_BP/samples/bcell/ERS353040/problems/chr2:162200000-234003741,62,15.258521548705437,0.9978421345486196,5086106,3.1797641062685487,242.08220557894325,5105866,15.558991149137634,355,17.036368177355985,1.0038852913968548,12.0,381,381,18.0,11.0,11.0,6.0,0,1
H3K4me1_TDH_BP/samples/bcell/ERS353040/problems/chr2:16329724-21153113,37,14.620658401981538,0.9979032278690584,322174,3.3219876665759,248.3247969915007,323283,15.75832468860509,179,14.761345698752848,1.0034453538937156,11.0,178,178,17.0,11.0,11.0,6.0,0,1
H3K4me1_TDH_BP/samples/bcell/ERS353040/problems/chr3:60000-66170270,77,16.6909776757632,0.9982914456823097,4777095,2.7584150447761058,307.79361751929054,4797079,17.544047922850943,201,9.881898816097571,1.004183505704514,12.0,200,200,19.0,12.0,12.0,7.0,0,1
H3K4me1_TDH_BP/samples/bcell/ERS353040/problems/chr4:75452279-190000000,65,13.648396457658958,0.9968072258441412,7788070,3.1682097554711803,165.7035004114193,7825554,12.872587168530623,206,15.172837283624178,1.004813131470715,10.0,205,205,16.0,11.0,11.0,6.0,0,1
H3K4me1_TDH_BP/samples/bcell/ERS353040/problems/chr5:91686128-138787073,73,14.981888275034796,0.9976985451557824,3282901,3.124181163611649,232.4439665085684,3300168,15.246113160690118,183,13.665930162598473,1.0052599835511289,11.0,182,182,17.0,11.0,11.0,6.0,0,1
H3K4me1_TDH_BP/samples/burkitt/ERS333897/problems/chr1:149509645-205922707,91,25.458820660128072,0.9995039891823976,4338037,2.744762747228972,1108.55764509977,4370160,33.295009312204286,330,8.680275223821184,1.0074051944243894,17.0,329,329,25.0,13.0,13.0,8.0,0,1
H3K4me1_TDH_BP/samples/burkitt/ERS333897/problems/chr2:162200000-234003741,83,16.164987739516896,0.9986582574778308,4457410,3.153769530551613,388.60368174491015,4473783,19.71303329639836,219,12.284367006003167,1.0036734344997285,11.0,218,218,17.0,10.0,10.0,6.0,0,1
H3K4me1_TDH_BP/samples/burkitt/ERS333897/problems/chr2:16329724-21153113,27,15.48064014683964,0.9986214697954422,281123,3.17061448766079,373.9751901623103,281992,19.33843815209259,189,12.051361856317572,1.0030947417847056,10.0,188,188,16.0,10.0,10.0,6.0,0,1
H3K4me1_TDH_BP/samples/burkitt/ERS333897/problems/chr3:60000-66170270,60,19.58500161674269,0.9991504244620822,4289489,2.7375919939591413,618.7787518543616,4307820,24.87526385496969,245,8.593502766527156,1.0042737035282532,14.0,244,244,20.0,11.0,11.0,6.0,0,1
H3K4me1_TDH_BP/samples/burkitt/ERS333897/problems/chr4:75452279-190000000,113,14.3134889669683,0.9982821586420876,6617764,3.562980247566893,307.0850367349282,6647622,17.52384195132244,243,16.40362017539055,1.0045119476173443,10.0,242,242,15.0,9.0,9.0,5.0,0,1
H3K4me1_TDH_BP/samples/burkitt/ERS333897/problems/chr5:91686128-138787073,94,15.999675421810526,0.9987259054035372,2834448,3.4050088776637883,418.57618968539487,2849110,20.459134626992288,241,14.51425550166262,1.0051731431210391,10.0,240,240,16.0,10.0,10.0,6.0,0,1
H3K4me1_TDH_BP/samples/burkitt/ERS333899/problems/chr1:149509645-205922707,95,26.562520915712977,0.9995671486212891,3523069,2.595821065247818,1261.009242807689,3545074,35.51069195056172,324,8.012922247526973,1.0062462603617075,23.0,323,323,29.0,13.0,13.0,6.0,0,1
H3K4me1_TDH_BP/samples/burkitt/ERS333899/problems/chr2:162200000-234003741,106,22.008283118591223,0.9994530635746168,4105700,2.945773219247729,955.6037777498856,4120477,30.912841631753714,365,10.464425690364118,1.0035993870958393,16.0,364,364,22.0,11.0,11.0,6.0,0,1
H3K4me1_TDH_BP/samples/burkitt/ERS333899/problems/chr2:16329724-21153113,45,14.645940794406451,0.99873263149817,221398,3.3138776958106373,409.1275711930186,221892,20.22690216501327,175,12.871102868217816,1.0022358026531524,10.0,174,174,15.0,8.0,8.0,5.0,0,1
H3K4me1_TDH_BP/samples/burkitt/ERS333899/problems/chr3:60000-66170270,84,24.244886256581943,0.9995466834278,3667421,2.7447318208158658,1154.8626340984786,3681948,33.98326991474597,371,8.994069500039618,1.0039613679371329,19.0,370,370,25.0,11.0,11.0,6.0,0,1
H3K4me1_TDH_BP/samples/burkitt/ERS333899/problems/chr4:75452279-190000000,110,18.333694240205983,0.9992617510074874,5506499,3.237770988699195,735.5186143085917,5532816,27.12044642531888,293,12.352146681132927,1.0047794442130007,12.0,292,292,17.0,9.0,9.0,5.0,0,1
H3K4me1_TDH_BP/samples/burkitt/ERS333899/problems/chr5:91686128-138787073,63,21.15618695678913,0.9994285692664572,2634106,3.154372885088552,922.2005521628764,2646453,30.36775513868084,346,12.317359688172443,1.004687740238145,14.0,345,345,20.0,11.0,11.0,6.0,0,1
H3K4me1_TDH_BP/samples/germinal/ERS333900/problems/chr1:149509645-205922707,121,33.79910391277672,0.9997684021251791,3491178,2.9442753984776417,2363.818774269513,3520172,48.61911943124343,731,12.555123170487043,1.0083052219924684,32.0,803,803,39.0,14.0,14.0,7.0,0,1
H3K4me1_TDH_BP/samples/germinal/ERS333900/problems/chr2:162200000-234003741,70,25.0343851485704,0.9996291099123557,3850296,3.1809062824438845,1400.9533253149964,3867865,37.42931104515546,426,12.87000268549558,1.0045632867092005,18.0,425,425,24.0,11.0,11.0,6.0,0,1
H3K4me1_TDH_BP/samples/germinal/ERS333900/problems/chr2:16329724-21153113,46,27.80681180964568,0.9996985214967532,265715,2.945953648595403,1735.803323375137,266969,41.66297305012134,394,10.631788550875587,1.0047231233581972,21.0,407,407,27.0,12.0,12.0,6.0,0,1
H3K4me1_TDH_BP/samples/germinal/ERS333900/problems/chr3:60000-66170270,92,30.43300514227206,0.9997358421330094,3684947,2.8469411759635577,1983.674060322166,3707125,44.538455971465446,460,10.04192478675612,1.0060188127587215,27.0,459,459,33.0,13.0,13.0,6.0,0,1
