sequenceID,autocorr,count,variance,sum_diff,std_deviation,max_diff,mean_diff,abs_skewness,mean,kurtosis,max_value,unique_count,range_value,iqr,percentile_75,percentile_25,median,percentile_50,min_value,min_diff
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF115HTK/problems/chr1:30028082-91800000,0.9959027908282292,2331101,130.4161949622526,2379504,11.419991022862172,40,1.0207644459697138,2.607106041973817,6.502836642427763,6.2390633887223785,75,76,75,3.0,4.0,1.0,2.0,2.0,0,1
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF115HTK/problems/chr2:110251337-149690582,0.9933413226054548,1195628,79.7052031108209,1213396,8.927777053153877,56,1.014861658360007,3.784811645984605,4.316429524902395,14.903609497925911,115,113,115,2.0,3.0,1.0,2.0,2.0,0,1
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF115HTK/problems/chr3:93504854-194041961,0.9949037222437108,3636237,103.88290900296263,3699449,10.192296551953472,33,1.0173841851849,3.114016400945558,5.399233603310235,9.488045863926942,81,82,81,3.0,4.0,1.0,2.0,2.0,0,1
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF115HTK/problems/chr4:32840638-40296396,0.9936588878692196,238957,82.90569827183774,242320,9.105256628554612,31,1.0140779055558349,3.817908774210574,4.330561565469938,14.893311415551633,77,78,77,2.0,3.0,1.0,2.0,2.0,0,1
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF115HTK/problems/chr4:40297096-49000000,0.9931681510089676,294674,76.55374535980079,298723,8.74949972054407,22,1.0137440484876457,3.856930916175476,4.355884808296626,15.618140079648612,72,73,72,2.0,3.0,1.0,2.0,2.0,0,1
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF502AXL/problems/chr1:30028082-91800000,0.997752175438777,2207821,243.6747506226709,2269275,15.610084901199958,53,1.0278351496045874,2.3449440399584294,8.82293401503111,4.691178064040477,92,93,92,5.0,6.0,1.0,2.0,2.0,0,1
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF502AXL/problems/chr2:110251337-149690582,0.9965122209996266,1092679,154.47824227286162,1114088,12.428927639698513,45,1.0195940615625096,3.3885926852448205,5.7239472891855705,11.460808171645027,127,127,127,2.0,3.0,1.0,2.0,2.0,0,1
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF502AXL/problems/chr3:93504854-194041961,0.9972417847647606,3387648,196.2663362213308,3466187,14.009508778730636,40,1.0231842337764236,2.822006284302208,7.205910708550594,7.461960987491004,101,102,101,3.0,4.0,1.0,2.0,2.0,0,1
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF502AXL/problems/chr4:32840638-40296396,0.996771112600288,219142,166.1229917237494,223334,12.888870847508302,35,1.0191337996997367,3.3825989662580254,5.861669602358289,11.171958433406385,93,94,93,2.0,3.0,1.0,2.0,2.0,0,1
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF502AXL/problems/chr4:40297096-49000000,0.9965290636297472,267281,152.7220592735939,272183,12.35807668181396,21,1.0183440586650705,3.472760710020143,5.78332541407732,12.227360995781885,89,90,89,2.0,3.0,1.0,2.0,2.0,0,1
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF974KVN/problems/chr1:30028082-91800000,0.9873309987025458,725024,41.479256144074455,736409,6.440439126649243,14,1.0157043293798955,2.161566823381682,3.969856170278501,4.076373300897048,46,47,46,3.0,3.0,0.0,1.0,1.0,0,1
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF974KVN/problems/chr2:110251337-149690582,0.9810317222760282,346363,27.61242501203719,350318,5.254752611877859,35,1.011421576269914,3.204442614409698,2.673117509664716,11.403253577459497,64,65,64,2.0,2.0,0.0,1.0,1.0,0,1
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF974KVN/problems/chr3:93504854-194041961,0.984585764943698,1071731,33.77775675881131,1085349,5.811863449773344,15,1.0127074916256893,2.593044849639333,3.2639197709126635,6.480734755455394,46,47,46,2.0,2.0,0.0,1.0,1.0,0,1
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF974KVN/problems/chr4:32840638-40296396,0.9837819809776128,68473,32.078561603943,69236,5.663793923152837,12,1.0111578455427035,3.072444288414759,2.806127962846669,9.511969734018138,44,45,44,2.0,2.0,0.0,1.0,1.0,0,1
H3K4me3_TDH_ENCODE/samples/aorta/ENCFF974KVN/problems/chr4:40297096-49000000,0.9800434793833568,83905,25.91151949882906,84735,5.090335892534898,13,1.009904176201373,3.2320949631598888,2.58910672784697,10.835896350554783,39,40,39,2.0,2.0,0.0,1.0,1.0,0,1
H3K4me3_TDH_ENCODE/samples/colon/ENCFF332UYK/problems/chr1:30028082-91800000,0.9117527659874878,4307458,5.882187992160359,4359404,2.425322245014126,10,1.0120597837656882,2.625303976861713,3.5820274974242348,14.837009105217415,38,39,38,3.0,5.0,2.0,3.0,3.0,0,1
H3K4me3_TDH_ENCODE/samples/colon/ENCFF332UYK/problems/chr2:110251337-149690582,0.9112524420855728,2561694,5.877302917264823,2593138,2.424314937722577,61,1.0122750852658768,7.995718679343653,3.4617706096044256,248.19277105139645,142,133,142,3.0,5.0,2.0,3.0,3.0,0,1
H3K4me3_TDH_ENCODE/samples/colon/ENCFF332UYK/problems/chr3:93504854-194041961,0.9001984835898879,7214064,5.2036956217517325,7302146,2.281161024950175,12,1.012209901687856,2.415109869869229,3.598369102353403,14.841863157418585,38,39,38,3.0,5.0,2.0,3.0,3.0,0,1
H3K4me3_TDH_ENCODE/samples/colon/ENCFF332UYK/problems/chr4:32840638-40296396,0.895612124864692,539945,4.980533139013528,546576,2.231710809897539,15,1.0122827552486924,2.3401887519610045,3.5716804489346137,14.369527087744167,32,33,32,3.0,5.0,2.0,3.0,3.0,0,1
